%This dataset contains 600 examples of control charts synthetically
%generated by the process in the paper <em> Time-Series Similarity
%Queries Employing a Feature-Based Approach</em>. There are six
%different classes of control charts:
%
% 1. Normal
% 2. Cyclic
% 3. Increasing trend
% 4. Decreasing trend
% 5. Upward shift
% 6. Downward shift
@Relation SyntheticControl
@attribute att1 numeric
@attribute att2 numeric
@attribute att3 numeric
@attribute att4 numeric
@attribute att5 numeric
@attribute att6 numeric
@attribute att7 numeric
@attribute att8 numeric
@attribute att9 numeric
@attribute att10 numeric
@attribute att11 numeric
@attribute att12 numeric
@attribute att13 numeric
@attribute att14 numeric
@attribute att15 numeric
@attribute att16 numeric
@attribute att17 numeric
@attribute att18 numeric
@attribute att19 numeric
@attribute att20 numeric
@attribute att21 numeric
@attribute att22 numeric
@attribute att23 numeric
@attribute att24 numeric
@attribute att25 numeric
@attribute att26 numeric
@attribute att27 numeric
@attribute att28 numeric
@attribute att29 numeric
@attribute att30 numeric
@attribute att31 numeric
@attribute att32 numeric
@attribute att33 numeric
@attribute att34 numeric
@attribute att35 numeric
@attribute att36 numeric
@attribute att37 numeric
@attribute att38 numeric
@attribute att39 numeric
@attribute att40 numeric
@attribute att41 numeric
@attribute att42 numeric
@attribute att43 numeric
@attribute att44 numeric
@attribute att45 numeric
@attribute att46 numeric
@attribute att47 numeric
@attribute att48 numeric
@attribute att49 numeric
@attribute att50 numeric
@attribute att51 numeric
@attribute att52 numeric
@attribute att53 numeric
@attribute att54 numeric
@attribute att55 numeric
@attribute att56 numeric
@attribute att57 numeric
@attribute att58 numeric
@attribute att59 numeric
@attribute att60 numeric
@attribute  target {1,2,3,4,5,6}

@data
-0.37693558,1.2248643,0.34387438,0.32845403,-0.33760945,1.026514,-1.330996,-0.65780029,1.4460774,-0.84639658,0.77620813,-0.25405199,1.6652325,0.62547205,1.242258,0.77620813,1.1273524,-1.0133987,-0.69236218,-1.0568689,-1.2245759,-0.23913907,0.17317923,-0.17277798,0.8206086,-1.4316089,-0.33873708,-1.6279013,-1.127064,1.3599545,-1.4346253,-0.98306547,1.5605883,-0.47444748,-0.27310895,-0.55250774,-1.1066538,0.90207995,0.24213387,-0.86658118,1.5268439,-1.0946446,-0.31626903,0.531484,0.26429182,1.1662557,-0.57683638,-0.33211225,1.5163852,-0.10466906,0.370712,-1.568165,1.0218626,-1.4297483,1.3569663,1.3727813,0.66355779,0.91834602,-1.3117417,-1.1971462,1
0.64440621,0.41326914,-0.86227849,-1.4973857,-0.42145781,-0.21421485,-1.2921314,0.95689775,-1.2161403,-0.58853578,0.77698386,-0.60302893,-0.30216806,-0.80695746,-1.5712073,1.7483562,0.69653333,0.99474265,0.53355322,1.4644291,-0.7009556,0.66833045,1.7347368,0.94162119,-1.4847908,0.28325265,0.59815469,-0.77697683,0.67905719,-0.11517332,-0.58799342,-1.5107941,-0.692097,-1.195651,0.70849545,-1.3700509,-0.53607722,-1.5223947,-0.73946338,1.7672786,1.0152018,0.54117643,-0.87433101,-0.35372269,0.65657925,-0.58886723,0.10490558,2.0225509,1.4717209,-0.62924315,1.3172679,-0.80252816,-1.121287,0.98931901,-1.1096865,0.21985643,0.63003359,1.3981403,0.085742083,0.024997415,1
-0.97866735,-0.40623244,0.82242857,-1.4082424,-1.6767337,-0.49063202,1.4045976,1.1685996,-1.7032538,0.97281026,-0.7619717,-1.4925314,1.298794,1.1457575,-1.5407597,-0.3457258,0.67893269,0.11299644,0.18011236,-1.1618742,-0.57248745,0.25931301,1.4465485,0.63971952,-1.6898417,0.68684169,-0.90850951,0.53004431,1.4265271,-0.7436925,0.66532699,0.74502542,-1.0492677,-0.14006404,-0.29484269,0.040266786,-1.7164447,0.90547311,0.71640367,0.6872565,0.1510758,-0.77751317,1.2146156,1.2048538,0.86119928,-1.3192799,-0.43803438,-1.7785,0.44343242,1.1630135,-0.82878343,-0.76288428,1.3829723,-0.86910276,1.2772516,-0.19896676,0.96680938,0.66612895,0.10699555,0.082715462,1
-0.23653661,-0.098174649,0.3670918,1.3668598,0.49828124,-0.30022317,1.7156337,0.90210762,-0.21813165,-1.4307205,1.4413999,1.1249429,-0.12380626,-0.89113051,1.0509983,0.55146615,1.0104533,-1.3586705,-0.11208663,-0.46960289,-1.142277,-1.1801424,-0.70813653,-0.42765042,-0.018167225,0.40585047,-0.86945055,-0.4951533,1.21012,-1.2091844,-1.3875771,1.5823602,1.0215774,0.72071054,-1.3664114,-0.029589124,-1.3218877,-0.37259795,1.2793009,0.55723123,0.33228478,1.678066,0.47949736,-1.0836518,0.86911403,0.8655413,-1.4800079,1.199889,-0.20243331,-1.4948401,0.068904455,-1.4996038,0.40674365,1.289153,-1.1197309,-0.99598462,1.6511352,-1.1870984,0.025463346,-0.84151833,1
1.4907351,1.325243,1.6268292,-0.31705617,-1.0989904,-0.022212609,0.59698045,1.6673392,-0.2061527,-1.3766266,0.0099634218,-0.058461215,-0.40878349,1.2295779,-0.58776097,-1.1595126,0.70564536,1.3656451,1.0719882,-1.1805228,1.0879279,-0.88527464,-1.4070226,0.1852729,-0.3322137,-0.23822085,0.7287053,-1.4077238,0.53311386,0.03928056,1.6520738,1.6157173,-0.68353389,-1.4580242,-1.2020184,-0.028658604,-1.4570263,0.39265052,-1.2558789,0.58144534,-0.29121826,0.84430167,-1.3430481,-0.11383204,-0.62765062,-0.96470331,0.60272521,1.354641,-1.3103597,0.62084951,0.81506544,1.0299949,-1.4961607,-1.167442,1.4842082,-0.37302035,-0.84328128,-0.20979375,0.13772357,0.71654152,1
1.6433162,1.7640108,0.43775553,0.19931011,-1.5676161,-0.71911748,-1.0941885,1.0331764,-1.3771657,-0.94890476,1.1008832,-0.29434869,-0.81577128,1.8317464,0.23544345,0.60702235,-1.6037494,1.003277,1.1529186,1.2626174,0.5112055,-1.4633431,0.64200127,1.4653624,-0.79447224,1.2423862,-0.87715756,1.6459425,0.2706244,0.016161397,0.83519344,1.0038253,-0.13062309,-0.96119933,-0.39960292,0.71978031,-0.35645648,0.40713455,1.0539271,-1.5346574,-0.69115166,0.73611535,-1.4551756,0.36473848,-0.59556569,-1.0270013,-1.2537005,-1.5740808,-0.020924341,-0.96350817,0.28208201,-1.3686807,0.097894324,-0.42523104,0.57544897,-0.91202104,1.3174235,-0.39726522,0.20926698,-0.045311461,1
1.184702,0.78844919,-1.7429592,-0.96356128,-1.2673268,1.133356,0.20607806,-0.42837219,-0.97948412,-1.4889562,1.5847669,0.79308235,0.43480388,0.26542947,-0.6846624,-0.82119412,0.64232857,0.93058176,-0.44408975,1.6799521,-0.45109815,0.26026848,-0.66085146,-1.6764234,0.77604521,1.0023078,0.74763042,-0.47866254,-1.0237631,-0.23982,-0.045666967,0.58104178,-1.4755846,0.16399837,1.0808957,-1.2053069,1.508525,1.7062262,0.73115044,-0.29937669,-0.028453883,0.520752,0.20901044,0.27812669,-1.460952,1.3335204,-1.6644593,-1.413682,0.058667196,-0.76521494,0.7040259,-0.037163059,1.5574958,1.0708963,-1.7138993,-1.2756254,0.1843491,-0.76424726,0.62831179,0.75408167,1
-1.5230982,0.99592128,1.6963807,-0.25393414,-0.19688073,0.85822749,0.1451583,-1.4491849,-1.4164221,1.3168503,0.25180625,1.1982963,0.13564471,1.0476831,1.0558457,-0.032419401,0.15776804,-1.1798207,-0.45743498,-1.3810698,1.5276974,-0.58809209,0.41916669,-1.2697495,1.5236724,-0.13051075,0.17738631,-1.1783853,1.650389,-0.59501619,-1.5297127,-0.40223925,-0.89278041,0.011602081,0.076001793,0.17459978,-1.4675929,0.44458319,-0.49050739,-1.0567351,-0.32565201,1.4535871,-0.38363426,0.86971136,-0.37701978,1.2061492,-1.3673342,0.85532838,-0.87718713,-1.2128931,0.4303128,-0.85300909,0.79506624,1.6474899,-0.63284539,1.4863499,-1.0466023,0.69947995,1.2361255,-0.97651693,1
-1.3704945,-0.69531254,-0.84481458,-1.3593262,1.5227246,-1.1559916,-0.086756489,0.80023973,-1.0574857,0.17354252,-0.69551936,0.93780525,-0.42417019,0.087061797,0.60234157,-0.62044333,-1.3318781,1.0659456,1.4893969,0.14219437,-1.691008,-1.1365799,-0.24993827,-0.36809215,-0.8843174,-0.98879155,1.0812504,0.9877082,0.31143305,1.029161,-0.64378456,0.84990632,0.75530048,1.1130417,1.0035448,0.21771358,-1.1873397,-1.6988081,-0.15899611,0.39758877,1.3978343,1.5648275,-1.0870906,0.15368771,0.9716648,1.4910219,-0.10746814,1.2800054,-1.6249139,-0.0038508102,-0.28734332,-0.40106533,-1.7171561,1.2993284,0.31394444,0.60189838,-1.7239812,0.70832256,0.067531984,1.1847495,1
-0.82456427,0.54166635,0.32032846,-0.36294139,-0.94863217,0.85267066,-1.5551864,0.31127219,1.7525185,1.540855,1.5402677,-0.040377191,-0.5418415,0.17246078,-0.24854794,-0.3471779,1.9177878,1.1418843,-0.15489428,-0.79279002,-0.45647141,-1.4574528,-1.0444185,0.16711356,-0.44080065,0.21944215,-1.56279,0.048609234,-0.89698358,-0.79347002,0.75268071,0.2761907,-0.92421422,1.4551449,1.140617,0.033742103,0.73620632,1.1790985,-1.1847136,-1.537352,-0.42822077,1.5657984,-1.4733399,-0.25624423,0.27313073,1.9334585,1.2031764,-1.1370522,0.39138779,0.73157,-0.86554933,-1.6107913,-0.019699206,-1.3056906,0.44961996,0.588895,-0.31935999,-0.52731437,1.6502722,-0.82898422,1
