;NB;C45;SVML;SVMQ;BN;RandF;RotF;MLP;Euclidean_1NN;DTW_R1_1NN;DTW_Rn_1NN;DDTW_R1_1NN;DDTW_Rn_1NN;ERP_1NN;LCSS_1NN;MSM_1NN;TWE_1NN;WDDTW_1NN;WDTW_1NN;DD_DTW;DTD_C;DTW_F;ST;LS;FS;BoP;SAXVSM;BOSS;TSF;TSBF;LPS;ACF;PS;EE;COTE;CID_DTW
ElectricDevices;0.512644274413176;0.559330826092595;0.49824925431202177;0.5809881986772144;0.4625859162235767;0.6549085721696278;0.7857606017377772;0.6405135520684736;0.551679419;0.602126832;0.630787187;0.570872779;0.596809752;0.654000778;0.625988847;0.659058488;0.592659837;0.581895993;0.613409415;0.5918817274024122;0.593827;0.741149008;0.7469848268707042;0.587472442;0.579043;0.5960316431072494;0.7052263000907794;0.7992478277784982;0.6925171832447153;0.7025029179094799;0.681234599922189;0.625729477369991;0.5971988068992349;0.66294903384775;0.713266762;0.6156140578394501
FaceAll;0.6928994082840236;0.5491124260355029;0.7201183431952662;0.7331360946745562;0.6733727810650888;0.7325443786982249;0.9112426035502958;0.8627218934911243;0.713609467;0.807692308;0.807692308;0.872781065;0.881656805;0.792899408;0.800591716;0.809467456;0.786390533;0.89704142;0.79408284;0.901775147928994;0.898816568;0.75739645;0.778698224852071;0.7485207100591716;0.626036;0.755621301775148;0.9680473372781065;0.7816568047337278;0.7514792899408284;0.744378698224852;0.7674556213017751;0.7088757396449704;0.8201183431952662;0.8485207100591716;0.917751479;0.863905325443787
FaceFour;0.8409090909090909;0.7159090909090909;0.8863636363636364;0.8522727272727273;0.8977272727272727;0.8522727272727273;0.8181818181818182;0.9090909090909091;0.784090909;0.829545455;0.897727273;0.625;0.738636364;0.863636364;0.965909091;0.943181818;0.852272727;0.715909091;0.875;0.8295454545454546;0.818181818;0.988636364;0.8522727272727273;0.9659090909090909;0.909091;0.9545454545454546;0.9318181818181818;1.0;0.9318181818181818;1.0;0.9431818181818182;0.6590909090909091;0.5113636363636364;0.9090909090909091;0.897727273;0.875
FacesUCR;0.7273170731707317;0.4775609756097561;0.7580487804878049;0.7804878048780488;0.6117073170731707;0.7824390243902439;0.8029268292682927;0.7473170731707317;0.769268293;0.904878049;0.907804878;0.843414634;0.874634146;0.92097561;0.955121951;0.971219512;0.92;0.868292683;0.92;0.904390243902439;0.907804878;0.709756098;0.9058536585365854;0.9390243902439024;0.705854;0.8985365853658537;0.9253658536585366;0.9570731707317073;0.8834146341463415;0.8668292682926829;0.9258536585365854;0.6926829268292682;0.8004878048780488;0.9448780487804878;0.942439024;0.8946341463414634
50words;0.5626373626373626;0.4175824175824176;0.6461538461538462;0.6901098901098901;0.16043956043956045;0.6813186813186813;0.6615384615384615;0.6505494505494506;0.630769231;0.69010989;0.764835165;0.692307692;0.762637363;0.712087912;0.797802198;0.813186813;0.793406593;0.769230769;0.771428571;0.7538461538461538;0.753846154;0.747252747;0.7054945054945055;0.7296703296703296;0.481319;0.5406593406593406;0.3934065934065934;0.7054945054945055;0.7406593406593407;0.7582417582417582;0.8175824175824176;0.42857142857142855;0.4175824175824176;0.8197802197802198;0.797802198;0.7802197802197802
FISH;0.6514285714285715;0.5657142857142857;0.8514285714285714;0.8628571428571429;0.6571428571428571;0.76;0.8285714285714286;0.8457142857142858;0.782857143;0.822857143;0.834285714;0.897142857;0.92;0.874285714;0.874285714;0.931428571;0.931428571;0.96;0.851428571;0.9428571428571428;0.925714286;0.948571429;0.9885714285714285;0.96;0.782857;0.8971428571428571;0.9485714285714286;0.9885714285714285;0.7942857142857143;0.8342857142857143;0.9428571428571428;0.6171428571428571;0.8114285714285714;0.9657142857142857;0.982857143;0.8342857142857143
FordA;0.49166666666666664;0.5621212121212121;0.4962121212121212;0.7772727272727272;0.5159090909090909;0.771969696969697;0.8446969696969697;0.7446969696969697;0.665151515;0.554545455;0.665151515;0.717424242;0.721969697;0.658333333;0.698484848;0.718939394;0.618181818;0.717424242;0.653030303;0.7227272727272728;0.765151515;0.892424242;0.9712121212121212;0.956818182;0.787121;0.7893939393939394;0.8272727272727273;0.9295454545454546;0.8151515151515152;0.85;0.8727272727272727;0.9363636363636364;0.9378787878787879;0.7378787878787879;0.956818182;0.771969696969697
FordB;0.5345679012345679;0.5259259259259259;0.5271604938271605;0.737037037037037;0.5074074074074074;0.654320987654321;0.7716049382716049;0.6654320987654321;0.60617284;0.619753086;0.598765432;0.665432099;0.656790123;0.624691358;0.648148148;0.641975309;0.608641975;0.659259259;0.598765432;0.6666666666666666;0.65308642;0.749382716;0.8074074074074075;0.917283951;0.728395;0.6246913580246913;0.7506172839506173;0.7111111111111111;0.6876543209876543;0.5987654320987654;0.7111111111111111;0.7802469135802469;0.7901234567901234;0.6617283950617284;0.803703704;0.6271604938271605
GunPoint;0.7866666666666666;0.7733333333333333;0.8;0.94;0.8533333333333334;0.94;0.92;0.9266666666666666;0.913333333;0.906666667;0.913333333;0.993333333;1.0;0.946666667;0.973333333;0.973333333;0.953333333;0.993333333;0.98;0.98;0.986666667;0.98;1.0;1.0;0.946667;0.9866666666666667;0.9866666666666667;1.0;0.9733333333333334;0.9866666666666667;0.9933333333333333;0.7266666666666667;0.8933333333333333;0.9933333333333333;1.0;0.9266666666666666
Ham;0.7523809523809524;0.5333333333333333;0.6;0.6571428571428571;0.7047619047619048;0.7142857142857143;0.7142857142857143;0.8380952380952381;0.6;0.466666667;0.6;0.476190476;0.542857143;0.6;0.60952381;0.514285714;0.514285714;0.552380952;0.580952381;0.47619047619047616;0.552380952;0.704761905;0.6857142857142857;0.6666666666666666;0.647619;0.5904761904761905;0.8095238095238095;0.6666666666666666;0.7428571428571429;0.7619047619047619;0.5619047619047619;0.6857142857142857;0.6;0.5714285714285714;0.647619048;0.5142857142857142
HandOutlines;0.8108108108108109;0.8810810810810811;0.8918918918918919;0.8675675675675676;0.845945945945946;0.9054054054054054;0.9108108108108108;0.8837837837837837;0.862162162;0.881081081;0.878378378;0.737837838;0.810810811;0.883783784;0.848648649;0.875675676;0.87027027;0.840540541;0.87027027;0.8675675675675676;0.864864865;0.916216216;0.9324324324324325;0.481081081;0.810811;0.9027027027027027;0.9081081081081082;0.9027027027027027;0.918918918918919;0.8540540540540541;0.8810810810810811;0.6864864864864865;0.745945945945946;0.8891891891891892;0.918918919;0.8621621621621621
Haptics;0.4383116883116883;0.35064935064935066;0.40584415584415584;0.42857142857142855;0.36363636363636365;0.45454545454545453;0.4383116883116883;0.4675324675324675;0.37012987;0.376623377;0.415584416;0.285714286;0.327922078;0.37012987;0.38961039;0.441558442;0.415584416;0.321428571;0.37012987;0.39935064935064934;0.399350649;0.435064935;0.5227272727272727;0.4675324675324675;0.392857;0.42207792207792205;0.37987012987012986;0.461038961038961;0.4448051948051948;0.4902597402597403;0.4318181818181818;0.4318181818181818;0.44805194805194803;0.39285714285714285;0.522727273;0.4253246753246753
Herring;0.578125;0.578125;0.609375;0.609375;0.53125;0.59375;0.65625;0.640625;0.515625;0.53125;0.53125;0.5;0.515625;0.625;0.5625;0.5625;0.515625;0.46875;0.53125;0.546875;0.546875;0.578125;0.671875;0.625;0.53125;0.5625;0.625;0.546875;0.609375;0.640625;0.578125;0.671875;0.5625;0.578125;0.625;0.515625
InlineSkate;0.21636363636363637;0.2690909090909091;0.3090909090909091;0.3290909090909091;0.17636363636363636;0.3509090909090909;0.3709090909090909;0.34;0.341818182;0.383636364;0.387272727;0.452727273;0.456363636;0.447272727;0.427272727;0.452727273;0.421818182;0.452727273;0.403636364;0.5618181818181818;0.509090909;0.372727273;0.37272727272727274;0.438181818;0.189091;0.37636363636363634;0.4109090909090909;0.5163636363636364;0.37636363636363634;0.38545454545454544;0.5;0.46;0.4290909090909091;0.46;0.494545455;0.41454545454545455
InsectWingbeatSound;0.6282828282828283;0.5070707070707071;0.6434343434343435;0.6005050505050505;0.6141414141414141;0.656060606060606;0.6363636363636364;0.5914141414141414;0.561616162;0.355050505;0.573737374;0.243434343;0.519191919;0.525757576;0.555555556;0.574747475;0.534343434;0.542424242;0.573737374;0.35505050505050506;0.472727273;0.630808081;0.6267676767676768;0.6060606060606061;0.489394;0.4919191919191919;0.5474747474747474;0.5232323232323233;0.6328282828282829;0.6247474747474747;0.5505050505050505;0.5580808080808081;0.5833333333333334;0.5949494949494949;0.652525253;0.5782828282828283
